Q,A,label
신용카드 온라인결제 처리방식이 궁금합니다.,온라인에서는 인증 및 승인 절차를 통해서 결제를 진행합니다.,0
신용카드 인증절차란 무엇인가요?,"발급된 카드사에서 해당 카드의 정상여부를 판단하는 절차이며, 카드사 결제창을 통해서 일반적으로 진행됩니다.",0
신용카드 카드사 인증창 이외 인증방법이 있나요?,"인증창 이외에는 카드번호, 유효기간등을 이용해서 카드밴을 통해서 카드정보 유효성 체크하는 방법도 있습니다.",0
신용카드 비인증이란 무엇인가요?,일반적으로 카드사 인증창을 통하지 않고 바로 카드밴을 통해서 승인절차를 진행하는 방식입니다.,0
신용카드 구인증이란 무엇인가요?,"비인증과 방식을 동일하지만 승인요청시 추가정보가 필요합니다. 카드번호, 유효기간은 필수이며 카드사 심사에 따라 카드비빌번호라든지 생년월일을 추가로 받아서 승인절차를 진행하는 방식입니다.",0
카드밴(VAN) 용어가 궁금합니다.,일반적으로 카드밴은 신용카드결제를 중간에서 처리해주는 업체를 말합니다. 예를들어 단말기에서 카드승인을 요청하면 그 데이터를 카드밴이 받아서 카드사로 중계를 해줍니다.,0
헥토파이낸셜에서 제공하는 신용카드 오프라인 결제란 무엇인가요?,실제 단말기나 키오스크를 통해서 거래가 이루어지는 걸 말합니다. 온라인 결제는 단말기를 이용하지 않고 카드사 인증창이나 비인증/구인증을 통해서 거래가 이루어지는걸 말합니다.,0
헥토파이낸셜에서 제공하는 신용카드 오프라인 결제란 무엇인가요?,실제 단말기나 키오스크를 통해서 거래가 이루어지는 걸 말합니다. 온라인 결제는 단말기를 이용하지 않고 카드사 인증창이나 비인증/구인증을 통해서 거래가 이루어지는걸 말합니다.,0
신용카드 결제창의 마지막페이지 스킵이 가능한가요? 마지막페이지 노출하지 않고 가맹점 페이지로 전환을 요청합니다.,헥토파이낸셜 내부설정으로 해당 기능 처리가 가능합니다.,0
결제창에 보안키패드는 적용되어 있나요?,구인증/비인증 결제창의 카드정보 입력시 적용되어 있습니다.,0
신용카드 빌키결제가 무엇인가요?,고객이 최초 카드정보를 이용해서 결제 한 이후 해당 정보에 맵핑되어 있는 키를 가지고 가맹점에서 결제를 요청하는 방법을 빌키결제라 합니다.,0
빌키결제를 이용하기 위해서는 어떤 절차를 진행해야 하나요?,"빌키결제는 영업담당자와 사전협의가 필요합니다. 헥토파이낸셜 구인증, 비인증 결제방식을 이용해야 하며 해당 결제방식을 카드사 심사도 더 엄격히 진행됩니다.",0
헥토파이낸셜 PG는 소켓연동방식도 지원하나요?,몇명 결제수단에 대해서만 지원합니다. 되도록이면 웹 연동을 추천합니다.,0
가맹점에서 승인요청을 할 수 있나요?,"가능합니다. 신용카드, 휴대폰 결제수단에서 인증/승인 분리방식을 제공합니다.",0
연동샘플을 어떤것들이 제공되나요?,"현재는 ASP, PHP, JAVA만 제공됩니다. 추가 필요하신 부분은 사업담당자로 문의해 주시기 바랍니다.",0
신용카드에서 달러 결제도 지원하나요?,네 지원합니다. 사업담당자로 문의해 주시기 바랍니다.,0
연동규격서의 hash데이터가 무엇인가요?,hash데이터는 연동상의 결제데이터의 위변조를 체크하기 위해서 필요한 데이터입니다. 결제정보들의 조합으로 이루어지며 연동규격서의 전문 해쉬 코드 생성 조합을 참고하시면 됩니다.,0
빌키 발급 요청API 전문은 무엇인가요?,빌키결제시 빌키가 필요합니다. 빌키는 결제 후 발행이 기본입니다. 해당 전문은 결제과정 없이 인증만으로 빌키를 발급해주는 전문입니다.,0
고객이 빌키결제를 더이상 사용치 않을 경우 생성된 빌키는 꼭 삭제를 해야하나요?,삭제하지 않으셔도 됩니다.,0
테스트계 결제는 실결제인가요?,아닙니다. 시뮬레이터 또는 카드사 테스트계로 진행되어 실결제 아닙니다.,0
